calories,protein,fat,carbohydrates
186.0,17.7,9.73,6.19
286.0,14.4,22.2,8.06
89.0,16.1,1.79,3.57
136.0,18.6,4.24,6.78
102.0,18.6,0.85,5.08
214.0,26.8,12.5,1.79
107.0,17.9,1.79,3.57
368.0,17.5,31.6,3.51
161.0,23.2,5.36,1.79
400.0,20.0,32.1,3.33
125.0,17.9,4.46,7.14
464.0,21.4,32.1,3.57
321.0,25.0,25.0,3.57
353.0,23.5,26.5,2.94
102.0,17.0,0.85,3.39
321.0,21.4,25.0,7.14
298.0,26.3,21.0,1.75
152.0,19.2,6.1,6.8
214.0,28.6,10.7,3.57
344.0,12.8,26.4,14.4
119.0,17.0,4.24,1.69
225.0,14.1,9.86,21.1
115.0,17.3,3.85,7.69
294.0,7.06,14.1,33.5
187.0,23.7,7.0,10.2
1014.0000000000008,10.9,26.1,4.29
222.0,25.6,9.3,11.9
179.0,13.5,6.5,22.1
197.0,23.0,9.6,8.6
213.0,23.9,9.3,8.5
100.0,3.57,9.29,0.71
174.0,16.4,6.3,15.5
228.0,14.8,9.9,18.8
300.0,13.8,15.0,26.2
218.0,15.5,9.15,19.0
133.0,4.31,4.71,19.2
195.0,13.0,9.09,14.3
247.0,24.7,15.0,4.3
165.0,17.6,7.06,7.06
238.0,17.5,11.2,18.8
212.0,24.8,9.73,6.19
202.0,14.9,8.51,17.0
183.0,20.7,7.32,3.66
144.0,22.0,1.6,12.4
150.0,11.4,2.3,24.6
235.0,16.5,11.8,15.3
193.0,12.1,9.29,15.0
177.0,10.6,9.73,12.4
256.0,18.9,10.0,24.4
203.0,13.0,3.62,30.4
200.0,12.1,6.43,23.6
94.0,2.92,0.67,18.39
250.0,13.8,12.5,23.8
197.0,14.1,6.34,22.5
312.0,20.8,20.8,6.25
247.0,15.3,11.8,18.8
382.0,1.65,0.2,21.1
188.0,18.2,11.8,2.35
229.0,19.4,16.5,0.59
517.0,29.1,32.1,0.8
336.0,15.8,29.9,0.9
157.0,26.5,4.9,0.98
116.0,17.0,4.46,0.89
298.0,24.6,17.5,5.26
518.0,18.2,5.09,0.07
263.0,14.7,15.8,15.0
189.0,31.6,4.74,3.16
202.0,21.15,9.15,7.34
102.0,23.7,0.7,0.3
119.0,21.4,2.38,1.19
165.0,1.09,1.13,6.24
131.0,23.8,2.98,2.38
200.0,18.8,9.41,9.41
211.0,19.7,12.7,3.34
174.0,12.0,8.7,13.0
190.0,13.1,7.14,17.9
264.0,14.1,16.1,15.8
107.0,19.6,1.79,1.79
189.0,20.02,8.69,6.48
119.0,23.8,2.38,1.19
36.0,2.52,1.2,3.53
185.0,1.96,11.52,18.76
127.0,23.9,2.82,2.82
197.0,1.92,13.03,18.4
106.0,1.97,5.01,13.3
100.0,14.11,3.71,2.41
118.0,20.0,2.94,2.35
294.0,18.62,20.59,7.15
131.0,22.6,4.17,1.19
287.0,14.8,19.6,12.8
159.0,0.88,11.8,12.4
1014.0000000000008,16.4,12.9,17.6
157.0,10.26,8.13,10.63
224.0,10.5,11.8,19.7
175.0,10.68,8.1,16.0
247.0,11.8,15.3,14.1
120.0,16.2,4.23,9.15
131.0,25.0,1.79,2.38
1014.0000000000008,15.7,12.9,22.9
1014.0000000000008,17.7,21.7,21.2
167.0,11.9,7.14,13.1
214.0,15.5,10.7,14.3
89.0,15.35,3.58,33.6
154.0,5.58,0.56,2.88
117.0,4.92,10.32,28.74
317.0,13.3,9.56,31.87
450.0,3.94,10.4,5.17
261.0,11.43,12.4,37.52
402.0,15.84,9.82,9.98
286.0,10.18,14.24,32.59
362.0,15.13,6.91,19.69
180.0,9.11,11.5,31.57
127.0,19.4,6.09,5.6
366.0,18.3,2.08,30.57
301.0,17.84,12.56,7.68
489.0,15.77,12.0,16.96
384.0,9.26,11.1,22.56
487.0,3.16,2.14,19.58
318.0,19.84,11.45,13.47
193.0,8.57,4.18,19.14
139.0,17.32,11.43,3.4
118.0,11.35,0.39,28.04
477.0,8.27,3.73,18.69
408.0,10.29,6.29,29.31
297.0,13.71,7.88,27.86
110.0,8.76,4.0,3.05
413.0,19.75,2.03,16.53
277.0,1.4,8.23,43.71
408.0,9.43,4.78,27.78
162.0,7.04,1.03,40.62
99.0,5.94,8.77,36.16
295.0,2.56,14.3,38.19
122.0,2.91,13.28,9.78
333.0,5.04,0.03,12.79
161.0,13.51,7.44,27.41
467.0,19.74,10.68,43.72
420.0,2.82,12.87,49.65
439.0,2.51,11.04,26.51
426.0,11.65,1.7,35.73
321.0,12.04,8.81,48.57
241.0,8.53,3.64,7.12
134.0,12.93,12.8,13.37
381.0,2.61,0.14,22.8
337.0,6.68,12.14,21.4
99.0,10.14,11.39,9.03
420.0,18.46,0.12,31.31
212.0,7.14,3.97,21.82
164.0,14.19,0.29,39.29
93.0,11.51,4.63,10.82
358.0,2.42,5.8,33.21
112.0,14.89,0.39,44.79
149.0,9.4,14.99,10.44
307.0,9.95,7.88,18.24
153.0,4.92,10.34,34.66
63.0,10.22,11.14,49.22
252.0,4.02,10.69,44.71
310.0,2.22,6.42,21.03
196.0,5.47,11.34,43.64
82.0,17.57,5.67,21.08
351.0,5.39,5.28,24.88
419.0,14.06,6.83,5.86
305.0,3.02,0.2,24.65
216.0,14.14,6.04,34.04
191.0,9.68,6.18,46.32
223.0,14.75,8.6,1.29
84.0,12.64,9.0,40.78
438.0,18.14,6.18,44.61
307.0,16.08,6.17,20.69
298.0,7.83,8.4,30.27
140.0,15.98,5.37,42.52
423.0,9.36,2.87,42.53
336.0,9.11,1.77,21.46
53.0,4.1,11.13,30.17
382.0,7.6,3.14,48.87
226.0,19.8,5.0,9.9
451.0,13.53,0.96,39.23
127.0,17.54,9.2,3.33
294.0,12.13,4.45,3.59
492.0,3.27,5.94,17.73
365.0,18.66,4.55,43.47
399.0,9.29,4.99,10.66
464.0,16.12,4.64,21.75
118.0,11.54,1.69,41.05
86.0,17.32,9.19,24.44
180.0,13.09,4.02,30.09
232.0,3.35,4.86,16.5
97.0,12.64,7.66,44.64
135.0,10.12,7.45,48.05
316.0,18.52,7.51,33.97
425.0,13.25,0.16,19.17
284.0,19.56,0.07,10.9
176.0,16.68,0.16,40.42
274.0,13.55,12.3,7.17
455.0,7.6,11.33,29.99
229.0,1.3,0.3,18.45
341.0,8.87,8.71,34.63
402.0,2.46,12.29,34.83
343.0,13.28,5.48,19.25
367.0,6.79,13.51,19.22
297.0,6.84,2.85,37.69
291.0,12.96,0.75,6.1
97.0,14.81,0.83,20.56
225.0,13.15,8.24,46.85
320.0,10.02,6.54,2.42
270.0,10.13,5.44,30.05
470.0,5.46,8.89,11.29
488.0,15.93,3.52,47.16
225.0,7.06,4.92,42.06
229.0,2.22,10.93,36.29
77.0,18.22,7.73,44.04
346.0,14.05,10.05,17.48
466.0,13.06,0.39,15.24
499.0,8.22,14.11,19.56
445.0,10.74,11.06,20.99
381.0,15.37,9.88,16.35
137.0,18.74,6.56,22.39
445.0,14.59,12.84,43.35
241.0,3.85,7.77,45.17
248.0,13.05,8.33,2.77
127.0,16.8,14.73,31.51
354.0,4.57,3.92,5.81
357.0,18.13,5.68,28.2
365.0,4.42,0.61,35.53
282.0,7.1,9.23,10.43
300.0,14.89,12.14,5.23
394.0,15.04,7.9,46.48
206.0,13.62,4.07,29.81
428.0,19.91,13.85,45.81
336.0,5.71,14.45,35.86
88.0,17.84,7.69,15.81
352.0,2.57,0.43,25.02
351.0,8.02,7.28,28.72
195.0,16.84,3.8,42.55
163.0,8.66,12.6,38.96
197.0,7.32,3.13,48.8
51.0,11.88,4.75,48.48
417.0,4.13,4.76,4.8
267.0,6.08,9.36,16.74
116.0,2.2,14.79,11.63
61.0,7.05,10.78,47.8
345.0,4.35,9.35,11.36
413.0,11.15,5.49,32.72
262.0,11.39,4.08,37.95
377.0,7.74,5.02,8.56
227.0,17.71,9.5,22.76
228.0,6.36,11.2,30.17
239.0,15.0,7.5,19.5
258.0,15.03,7.62,45.27
470.0,2.0,14.15,5.7
193.0,19.51,5.49,44.63
386.0,13.62,0.95,12.94
252.0,7.07,11.94,23.92
129.0,14.83,2.68,48.65
112.0,17.22,0.91,40.88
400.0,7.61,7.12,5.14
282.0,18.91,6.42,36.78
346.0,13.11,0.86,26.8
426.0,3.58,5.07,16.01
156.0,16.32,8.64,10.2
133.0,1.89,6.24,31.87
275.0,9.0,8.83,47.76
163.0,16.25,1.91,33.6
348.0,3.96,13.52,26.49
389.0,4.28,0.13,24.64
432.0,14.79,13.6,38.06
129.0,15.8,11.43,31.78
90.0,19.98,0.84,31.37
101.0,18.75,10.03,18.04
135.0,1.03,11.03,23.28
342.0,10.72,9.94,15.59
371.0,14.84,4.98,33.44
331.0,5.11,5.36,16.44
481.0,11.1,11.72,2.36
304.0,9.16,14.95,9.58
439.0,10.82,1.71,31.4
54.0,5.85,4.41,34.52
488.0,12.78,3.73,31.03
58.0,17.08,11.6,20.27
176.0,13.62,3.86,8.82
284.0,17.8,10.89,8.52
385.0,8.85,1.8,26.96
449.0,9.03,5.76,6.03
291.0,11.34,10.08,19.79
233.0,15.99,9.76,8.96
175.0,17.09,13.3,1.45
226.0,15.7,2.64,22.71
480.0,1.17,5.8,39.54
159.0,9.07,9.26,34.21
262.0,1.31,3.17,16.78
86.0,3.83,1.75,32.78
246.0,19.38,14.86,7.13
201.0,1.84,6.73,38.44
199.0,2.5,0.48,49.37
136.0,4.39,0.24,8.57
449.0,11.45,5.1,23.28
261.0,19.91,13.36,27.84
229.0,11.29,3.83,21.59
100.0,8.7,10.73,45.76
448.0,5.33,1.07,23.91
128.0,4.73,10.66,18.19
169.0,11.33,0.1,21.18
361.0,7.01,0.14,31.34
414.0,4.71,5.3,9.24
347.0,17.4,9.96,7.97
467.0,18.16,7.09,25.62
399.0,12.85,8.04,16.21
100.0,19.81,9.13,2.5
413.0,17.24,3.28,20.96
454.0,12.02,10.67,11.69
284.0,10.37,0.8,5.89
259.0,17.21,8.06,26.93
430.0,14.85,6.87,46.8
440.0,5.48,4.11,21.67
315.0,3.42,10.36,40.97
187.0,15.69,11.42,15.05
121.0,7.63,3.59,16.17
173.0,3.25,6.64,23.02
55.0,4.43,12.42,20.22
168.0,9.92,2.2,45.46
479.0,7.84,13.02,33.15
432.0,4.12,6.08,11.79
197.0,10.49,2.4,44.62
190.0,15.75,3.05,38.98
207.0,4.66,12.88,31.79
368.0,17.51,13.34,44.48
222.0,19.18,13.81,4.09
246.0,9.87,12.82,1.7
276.0,13.99,5.03,19.1
113.0,17.88,5.49,31.25
448.0,5.95,2.93,16.86
335.0,5.52,14.6,7.66
122.0,17.86,6.23,5.76
430.0,16.17,13.95,2.13
261.0,7.96,4.58,26.21
141.0,2.2,1.18,30.89
496.0,1.92,1.44,40.94
108.0,19.53,13.47,46.78
280.0,11.83,3.36,23.44
261.0,7.08,12.67,10.92
422.0,16.98,10.96,43.64
214.0,7.9,14.77,40.75
235.0,9.77,14.03,47.12
440.0,16.75,13.33,24.88
333.0,15.55,11.97,11.9
188.0,3.11,2.3,23.47
276.0,1.95,8.65,16.09
454.0,13.04,14.12,47.49
279.0,18.83,6.49,38.87
74.0,6.9,5.43,27.52
375.0,12.05,12.62,37.54
450.0,19.41,12.47,27.09
315.0,8.48,10.0,42.76
285.0,17.99,5.5,30.5
122.0,2.35,12.91,35.36
360.0,13.79,11.54,10.04
89.0,13.48,14.55,34.9
84.0,5.3,5.46,5.73
128.0,19.92,12.28,28.59
361.0,16.28,0.02,49.81
249.0,11.84,0.75,22.83
297.0,14.09,2.74,8.04
263.0,6.37,11.43,29.98
70.0,12.59,4.06,32.76
270.0,10.88,10.99,38.08
444.0,8.91,13.88,11.29
182.0,13.3,7.85,7.83
335.0,14.16,14.19,3.49
404.0,7.76,6.5,7.43
259.0,11.2,10.43,41.04
225.0,11.95,4.39,21.65
376.0,18.84,6.24,2.76
225.0,14.71,2.02,42.81
456.0,13.87,8.97,30.42
395.0,4.9,14.86,20.82
479.0,3.23,11.22,6.7
428.0,10.51,1.23,1.61
109.0,10.7,2.22,10.05
425.0,17.86,14.49,33.35
265.0,7.43,2.03,40.31
226.0,6.07,10.8,42.62
318.0,4.99,9.79,23.93
113.0,15.81,4.83,7.19
414.0,5.17,0.56,13.91
128.0,19.8,12.54,11.33
367.0,13.72,12.53,6.95
232.0,10.14,7.16,11.63
390.0,19.4,9.34,29.85
170.0,19.42,10.52,5.41
213.0,3.81,9.78,27.19
409.0,18.78,10.29,29.4
227.0,6.28,7.6,15.37
82.0,19.98,1.06,30.19
239.0,15.63,9.64,17.88
294.0,2.36,3.74,36.61
492.0,4.09,7.68,14.03
313.0,17.08,8.81,33.83
339.0,4.3,5.95,31.73
331.0,15.28,0.32,7.92
302.0,16.71,7.01,46.89
311.0,4.33,7.34,7.63
450.0,12.9,11.71,14.07
379.0,8.06,14.59,48.79
311.0,18.53,14.13,46.75
272.0,10.07,6.56,20.22
413.0,16.65,0.32,5.99
443.0,2.31,6.28,12.89
487.0,19.87,12.12,31.97
128.0,5.21,5.81,34.09
336.0,3.98,12.89,34.2
93.0,19.72,12.61,25.49
349.0,9.06,13.59,15.83
341.0,15.2,7.24,38.86
57.0,11.14,11.27,41.55
351.0,16.77,9.45,8.11
356.0,7.0,12.02,35.36
184.0,4.58,14.68,1.23
223.0,7.23,0.93,26.21
144.0,11.57,5.14,9.46
444.0,5.3,9.97,30.44
398.0,10.91,1.38,14.2
177.0,8.7,13.87,15.16
466.0,8.26,7.16,38.51
110.0,7.18,2.87,15.8
300.0,4.2,11.07,11.82
429.0,17.44,11.19,29.77
326.0,13.98,10.91,35.57
327.0,10.71,3.13,14.33
65.0,18.9,8.98,3.63
87.0,4.76,0.12,20.25
242.0,11.79,13.62,12.04
283.0,1.89,0.66,45.11
317.0,10.76,0.47,44.98
367.0,10.59,1.21,14.02
180.0,16.38,8.77,42.48
275.0,19.83,1.39,30.16
384.0,14.37,6.84,3.05
414.0,13.35,5.52,38.18
492.0,16.97,10.4,48.51
395.0,6.75,7.46,33.72
71.0,14.22,14.96,9.44
144.0,6.66,0.68,4.52
256.0,1.54,7.64,46.72
255.0,17.45,1.53,47.94
270.0,19.3,10.43,2.69
66.0,14.38,7.19,32.79
185.0,19.37,9.53,35.71
110.0,12.43,0.59,25.88
340.0,8.14,6.63,38.31
382.0,17.29,11.42,46.11
90.0,17.98,0.87,41.1
387.0,1.25,8.69,20.67
156.0,10.47,8.84,7.6
192.0,2.72,2.31,34.53
237.0,13.44,14.97,11.27
318.0,14.46,14.11,42.08
106.0,1.15,2.93,11.71
69.0,17.92,14.2,39.54
194.0,16.08,7.79,1.89
160.0,19.63,4.58,1.4
433.0,6.68,11.53,43.62
296.0,10.52,8.92,16.31
210.0,13.59,12.45,19.24
273.0,13.02,9.23,28.39
412.0,10.96,3.95,29.96
312.0,15.8,13.87,19.47
466.0,7.48,4.86,8.32
272.0,6.69,4.28,11.84
353.0,17.74,7.51,27.92
56.0,15.06,3.16,24.48
495.0,8.74,12.34,36.56
363.0,15.7,2.57,9.14
414.0,3.94,12.29,16.22
293.0,10.15,4.18,41.59
363.0,14.11,6.68,40.82
157.0,2.91,9.69,19.63
168.0,13.59,13.25,43.14
375.0,1.04,6.97,7.63
290.0,9.62,6.96,13.58
358.0,15.1,7.7,20.33
134.0,13.72,11.72,8.55
116.0,12.09,13.82,26.0
232.0,11.67,6.19,26.72
248.0,18.72,12.7,25.6
355.0,19.56,7.5,36.53
233.0,7.23,5.57,10.15
176.0,6.26,6.82,32.86
464.0,17.17,12.88,29.32
78.0,16.39,13.0,28.75
482.0,3.92,11.37,5.61
492.0,5.82,14.24,34.12
485.0,11.75,1.38,32.94
455.0,1.94,2.43,5.54
491.0,14.42,7.04,7.43
221.0,4.7,8.73,42.19
134.0,13.37,7.8,40.06
156.0,7.39,0.26,28.72
73.0,4.11,11.76,38.49
292.0,15.78,1.56,11.42
294.0,16.8,8.89,2.77
127.0,13.99,6.08,18.53
315.0,17.85,0.2,40.15
422.0,9.52,13.17,8.95
202.0,9.96,7.79,13.21
309.0,7.3,6.85,30.31
162.0,10.71,8.77,14.0
396.0,3.11,7.28,21.11
350.0,10.9,0.9,47.4
57.0,18.1,2.09,15.1
71.0,6.43,9.75,13.33
404.0,10.15,6.25,11.88
63.0,19.48,12.52,10.03
299.0,6.81,5.85,38.02
204.0,1.49,12.76,46.56
117.0,2.07,5.95,27.01
254.0,11.71,7.19,37.8
368.0,3.87,10.06,21.39
269.0,15.79,13.62,23.05
295.0,8.37,12.32,31.34
258.0,7.35,7.95,25.78
488.0,5.89,2.14,17.05
304.0,2.52,6.21,32.36
118.0,6.11,2.55,9.47
186.0,15.02,9.1,37.98
315.0,11.04,14.17,19.62
257.0,11.73,13.5,13.08
432.0,6.98,12.53,20.23
454.0,18.16,14.66,48.33
206.0,7.43,11.16,2.85
426.0,19.32,9.97,20.41
241.0,15.9,8.32,4.95
60.0,17.35,6.49,13.46
187.0,2.07,8.71,19.09
246.0,3.76,2.87,47.95
310.0,1.06,4.94,12.43
468.0,7.29,6.24,26.18
96.0,12.6,3.17,22.46
418.0,11.97,10.51,20.88
63.0,10.44,14.05,39.13
304.0,7.86,2.27,8.23
263.0,3.75,9.83,33.71
462.0,5.97,5.36,23.98
98.0,6.93,9.32,39.05
469.0,3.54,0.73,15.83
352.0,19.73,6.91,23.6
356.0,10.92,7.87,26.26
99.0,12.43,10.86,4.98
318.0,18.73,4.28,37.02
382.0,3.83,4.59,9.93
168.0,10.42,7.23,40.94
231.0,7.95,9.95,3.38
224.0,15.74,5.07,2.9
350.0,6.23,7.21,32.74
445.0,17.3,10.47,31.1
243.0,15.0,4.73,11.17
244.0,8.07,13.99,44.56
64.0,9.34,7.0,12.56
385.0,12.28,0.88,46.39
477.0,1.62,2.17,43.79
327.0,14.63,13.92,46.26
355.0,19.5,9.73,36.08
234.0,5.77,13.79,24.8
307.0,19.23,7.6,13.96
480.0,17.35,12.87,16.45
319.0,2.91,4.21,45.99
315.0,15.28,3.39,13.4
399.0,10.72,9.72,38.25
241.0,2.72,14.84,23.57
311.0,15.01,5.71,11.09
141.0,4.76,9.0,46.58
368.0,16.6,14.62,44.03
155.0,11.54,2.81,8.17
498.0,6.35,2.9,14.57
460.0,9.48,0.82,21.07
152.0,13.56,10.11,17.19
270.0,14.89,2.44,14.75
242.0,11.95,3.42,10.67
449.0,10.05,12.18,10.92
133.0,15.48,9.38,25.32
69.0,15.15,2.95,27.68
250.0,13.02,9.27,30.67
52.0,1.7,1.18,39.0
174.0,14.88,0.03,2.59
228.0,19.14,6.76,47.12
111.0,14.3,12.72,47.4
352.0,1.94,2.74,46.84
215.0,1.29,13.23,25.56
496.0,7.7,12.97,12.6
284.0,15.85,12.77,26.11
188.0,3.3,1.13,11.7
59.0,1.11,0.24,33.29
349.0,11.43,7.42,22.58
464.0,3.44,6.4,37.06
332.0,11.47,3.52,43.55
457.0,7.0,12.29,38.52
111.0,16.59,6.21,34.14
252.0,10.94,3.6,47.46
465.0,17.89,9.22,43.37
374.0,7.52,12.55,37.62
491.0,6.5,3.12,33.49
225.0,14.52,11.95,1.54
102.0,12.98,13.89,15.28
328.0,4.35,10.28,26.88
